epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,8045.12,0.78017,0.43206,0.01074,0.78189,0.65806,0.75291,0.58097,1.01427,1.21917,0.01029,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,8148.72,0.77724,0.41729,0.01064,0.72355,0.72257,0.76363,0.58835,1.0484,1.21821,0.01086,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,8234.76,0.76216,0.39035,0.0102,0.78288,0.65969,0.74851,0.58066,1.01507,1.2664,0.01011,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,8339.21,0.77182,0.41391,0.01031,0.78457,0.67474,0.74781,0.58208,1.02819,1.10483,0.01062,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,8427.89,0.75332,0.40553,0.01027,0.79266,0.67638,0.74495,0.57477,1.02471,1.10044,0.00995,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,8515.99,0.76346,0.41491,0.01033,0.79562,0.66538,0.73993,0.57967,1.02062,1.11188,0.01026,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,8590.25,0.76502,0.40212,0.0103,0.76787,0.6855,0.72743,0.56247,1.0177,1.16855,0.01009,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,8640.93,0.74847,0.38868,0.01017,0.78999,0.67621,0.71878,0.55772,1.01297,1.10497,0.01009,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,8690.14,0.7484,0.39927,0.00993,0.77788,0.66235,0.7204,0.56223,1.03354,1.14212,0.01034,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,8739.62,0.7469,0.39492,0.00991,0.77485,0.65344,0.73372,0.56822,1.03531,1.12198,0.0102,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,8789.23,0.73217,0.3962,0.00996,0.77499,0.65555,0.74486,0.57718,1.03333,1.10632,0.01027,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,8837.36,0.7354,0.38552,0.00986,0.80023,0.73386,0.75617,0.58975,1.02253,1.15049,0.01012,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,8884.45,0.71905,0.379,0.00976,0.77569,0.7439,0.77607,0.60413,1.02754,1.09857,0.01043,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,8945.51,0.72605,0.38249,0.00964,0.73897,0.74093,0.76691,0.59591,1.03744,1.13335,0.01054,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,9012.24,0.72305,0.38474,0.00979,0.78043,0.67231,0.75857,0.58964,1.02944,1.12115,0.01032,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,9072.91,0.70425,0.36342,0.00941,0.77944,0.67219,0.76154,0.59398,1.02629,1.08101,0.0103,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,9134.93,0.72015,0.37398,0.00977,0.77211,0.75926,0.78069,0.61343,1.02667,1.04751,0.01032,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,9195.53,0.70955,0.36567,0.0094,0.78753,0.69651,0.77501,0.60416,1.0161,1.0623,0.00998,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,9252.65,0.71188,0.36482,0.00946,0.80928,0.69188,0.77914,0.60429,1.02574,0.93106,0.01049,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,9312.47,0.69575,0.3611,0.00923,0.79582,0.69381,0.77709,0.60466,1.02814,0.94065,0.01051,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,9358.1,0.69431,0.37818,0.00953,0.80606,0.67513,0.76225,0.59223,1.01071,1.04148,0.00997,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,9410.22,0.69219,0.36787,0.00925,0.78548,0.68551,0.76284,0.59599,1.02526,0.99058,0.01049,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,9463.61,0.69988,0.3678,0.00924,0.78005,0.68733,0.76664,0.59691,1.01002,1.07062,0.01004,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,9523.04,0.68622,0.3655,0.00925,0.81896,0.65165,0.76049,0.59097,1.01159,1.08244,0.01009,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,9580.08,0.68854,0.37259,0.00912,0.79156,0.68359,0.75055,0.58291,1.00248,1.09338,0.00999,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,9629.11,0.68859,0.35936,0.0093,0.80036,0.6759,0.75803,0.59079,1.01461,1.05393,0.01056,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,9690.19,0.67626,0.35333,0.00905,0.81604,0.65551,0.7625,0.59405,1.01802,1.05746,0.01057,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,9754,0.66916,0.35295,0.00881,0.84094,0.65145,0.76714,0.59708,1.01869,1.05532,0.01056,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,9813.28,0.68461,0.35892,0.00932,0.82975,0.66041,0.75091,0.57832,1.01985,1.04063,0.01058,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
